instance_name	LB	best_sol	best_spread	best_algo	FF	FFD-Degree	BFD-Avg	WFD-AvgExpo	NCD-DotProduct	NCD-Fitness	SpreadWFD-Avg	FF_time	FFD-Degree_time	BFD-Avg_time	WFD-AvgExpo_time	NCD-DotProduct_time	NCD-Fitness_time	SpreadWFD-Avg_time
large_scale_100000_normal_d005_0	45351	46292	45390	SpreadWFD-Avg	46517	46473	46517	46292	46479	46479	45390	251.0	238.0	436.0	4047.0	2994.0	2379.0	27090.0
large_scale_100000_normal_d005_1	46119	47049	46209	SpreadWFD-Avg	47294	47316	47294	47049	47260	47260	46209	313.0	291.0	545.0	5392.0	4330.0	3309.0	34216.0
large_scale_100000_normal_d005_2	45703	46662	45791	SpreadWFD-Avg	46859	46855	46859	46662	46816	46816	45791	393.0	387.0	629.0	6356.0	4183.0	2868.0	34008.0
large_scale_100000_normal_d005_3	46081	46970	46116	SpreadWFD-Avg	47199	47226	47199	46970	47188	47188	46116	423.0	419.0	688.0	6559.0	4272.0	3446.0	31206.0
large_scale_100000_normal_d005_4	45727	46478	45740	SpreadWFD-Avg	46687	46695	46687	46478	46650	46650	45740	380.0	350.0	475.0	5126.0	3913.0	2771.0	26586.0
large_scale_100000_normal_d005_5	46174	46991	46243	SpreadWFD-Avg	47182	47178	47182	46991	47147	47147	46243	215.0	213.0	301.0	3329.0	1624.0	1323.0	21688.0
large_scale_100000_normal_d005_6	46287	47256	46314	SpreadWFD-Avg	47489	47510	47489	47256	47460	47460	46314	215.0	217.0	306.0	3430.0	1714.0	1397.0	22433.0
large_scale_100000_normal_d005_7	46447	47391	46976	SpreadWFD-Avg	47621	47594	47621	47391	47586	47586	46976	217.0	217.0	307.0	3434.0	1649.0	1344.0	21603.0
large_scale_100000_normal_d005_8	45801	46499	45817	SpreadWFD-Avg	46703	46720	46703	46499	46661	46661	45817	212.0	211.0	300.0	3345.0	1629.0	1327.0	19300.0
large_scale_100000_normal_d005_9	46169	47108	46462	SpreadWFD-Avg	47337	47313	47337	47108	47295	47295	46462	214.0	215.0	304.0	3424.0	1655.0	1349.0	22392.0
large_scale_100000_threshold_d005_0	45413	46369	45430	SpreadWFD-Avg	46626	46610	46626	46369	46589	46589	45430	183.0	225.0	248.0	2434.0	1052.0	948.0	24466.0
large_scale_100000_threshold_d005_1	46119	47055	46144	SpreadWFD-Avg	47301	47301	47301	47055	47249	47249	46144	325.0	348.0	435.0	4837.0	3114.0	2781.0	33563.0
large_scale_100000_threshold_d005_2	45703	46653	45726	SpreadWFD-Avg	46864	46850	46864	46653	46825	46825	45726	298.0	329.0	466.0	4179.0	2410.0	2251.0	31938.0
large_scale_100000_threshold_d005_3	46081	46962	46115	SpreadWFD-Avg	47200	47220	47200	46962	47203	47203	46115	306.0	345.0	480.0	4810.0	2624.0	2284.0	28227.0
large_scale_100000_threshold_d005_4	45727	46480	45742	SpreadWFD-Avg	46686	46686	46686	46480	46647	46647	45742	250.0	282.0	393.0	4531.0	2844.0	2565.0	36283.0
large_scale_100000_threshold_d005_5	46174	46984	46434	SpreadWFD-Avg	47188	47187	47188	46984	47126	47126	46434	183.0	218.0	250.0	2427.0	1071.0	950.0	18658.0
large_scale_100000_threshold_d005_6	46287	47252	46318	SpreadWFD-Avg	47486	47469	47486	47252	47491	47491	46318	185.0	216.0	251.0	2588.0	1145.0	1057.0	21341.0
large_scale_100000_threshold_d005_7	46447	47384	46520	SpreadWFD-Avg	47617	47603	47617	47384	47600	47600	46520	180.0	213.0	249.0	2599.0	1103.0	1025.0	19074.0
large_scale_100000_threshold_d005_8	45801	46497	45845	SpreadWFD-Avg	46707	46702	46707	46497	46678	46678	45845	181.0	218.0	248.0	2549.0	1166.0	1050.0	21226.0
large_scale_100000_threshold_d005_9	46169	47111	46285	SpreadWFD-Avg	47329	47298	47329	47111	47297	47297	46285	186.0	227.0	255.0	2605.0	1162.0	1041.0	21649.0
